Product_name,Brand,Item_id,Swiper_count,Price
4-in-1 Tinted Moisturizer Broad Spectrum SPF 20,PÃR,2241131,7,$36.00
Hydromaniac Hydrating Dewy Foundation,Urban Decay Cosmetics,2567739,10,$24.50
Rosilliance Tinted Moisturizer Organic Sunscreen SPF 30,COOLA,2523612,6,$52.00
Tinted Moisturizer Light Revealer Natural Skin Illuminator Broad Spectrum SPF 25,Laura Mercier,2589680,11,$54.00
Water DrenchÂ Broad Spectrum SPF 45 Hyaluronic Sheer Tint Moisturizer,Peter Thomas Roth,2623408,7,$56.00
Skin Treat Poreless Tinted Moisturizer SPF 20,Tarte,2592227,8,$18.00
Pro Longwear Liquid Correcting Concealer,MAC,2510643,5,$31.00
We're Even Hydrating Longwear Concealer,FENTY BEAUTY by Rihanna,2618097,11,$30.00
Studio Fix 24-Hour Smooth Wear Fluid Correcting Concealer,MAC,2532166,3,$30.00
Futurist Soft Touch Brightening Skincealer Concealer,EstÃ©e Lauder,2618165,6,$30.40
Pro Fix Stick Color Correcting Concealers,NYX Professional Makeup,2617411,9,$9.00
Mineral Sunscreen Multi-Defense Fluid Tinted SPF 50+,AvÃ¨ne,2625801,7,$25.20
Tinted Moisturizer SPF 24,ULTA Beauty Collection,2623150,5,$9.60
Bare Focus Tinted Hydrator Tinted Skin Veil,Wet n Wild,2574779,5,$6.99
Glow Hydrating Skin Tint,Milani,2573972,10,$6.49
Mini Radiant Creamy Concealer,NARS,2569434,9,$15.00
Shape Tape Full Coverage Concealer,Tarte,2501208,11,$32.00
Lightweight HD Pro Creamy Concealer,L.A. Girl,2505332,2,$5.50
Travel Size BB Blur Tinted Moisturizer Broad Spectrum SPF 30 Sunscreen,Tarte,2578610,8,$18.00
CCC Clean Corrective with Vitamin C Tinted Moisturizer SPF 30,Honest Beauty,2571581,9,$27.00
NUDESCREEN Daily Mineral Veil SPF 30,NUDESTIX,2605942,7,$36.00
Dream Tint Tinted Moisturizer,jane iredale,2544951,7,$40.00
White Tea Tinted Moisturizer SPF 30,Winky Lux,2606735,6,$19.60
Illusion Hyaluronic Skin Tint,HOURGLASS,2575959,nan,$56.00
Boi-ing Cakeless Full Coverage Waterproof Liquid Concealer,Benefit Cosmetics,2548925,7,$27.00
Radiant Creamy Concealer,NARS,2504450,11,$32.00
Vanish Airbrush Concealer,HOURGLASS,2575916,10,$36.00
Shape Tape Ultra Creamy Concealer,Tarte,2575029,11,$32.00
Travel Size Shape Tape Full Coverage Concealer,Tarte,2554049,11,$15.00
Hydrating Camo Concealer,e.l.f. Cosmetics,2558525,7,$7.00
Bye Bye Under Eye Full Coverage Anti-Aging Waterproof Concealer,IT Cosmetics,2533871,9,$14.50
Soft Matte Complete Concealer,NARS,2603381,7,$32.00
Even Better All-Over Concealer + Eraser,Clinique,2567323,9,$22.40
Instant Age Rewind Eraser Dark Circle Treatment Concealer,Maybelline,2547762,6,$10.99
