,Item_id,pros,cons,rating,num_reviews,5_stars,4_stars,3_stars,2_stars,1_star
235,2619244,['No Pros'],['No Cons'],4.3,12 Reviews,8,2,1,0,1
236,2617300,['No Pros'],['No Cons'],3.7,10 Reviews,4,2,2,1,1
237,2620460,['No Pros'],['No Cons'],4.8,11 Reviews,9,2,0,0,0
238,2579895,['No Pros'],['No Cons'],4.4,30 Reviews,23,3,1,0,3
239,2619522,['No Pros'],['No Cons'],4.4,9 Reviews,7,0,1,1,0
240,2557340,"['2Pigmented', '2Buildable', ""1It's perfect.  A little goes a long way."", '1Blendable', '1Natural Glow']","['1You have to watch how much', '1Dried quickly', '1Very small tube', ""1Color washes out & doesn't last long"", '1Patchy']",4.1,192 Reviews,108,31,24,17,12
241,2613913,['No Pros'],['No Cons'],4.8,12 Reviews,11,0,0,1,0
242,2603025,['No Pros'],['No Cons'],4.3,117 Reviews,77,18,6,10,6
243,2620729,['No Pros'],['No Cons'],4.5,140 Reviews,94,34,8,1,3
244,2613842,['No Pros'],['No Cons'],4.9,10 Reviews,9,1,0,0,0
245,2625486,['No Pros'],['No Cons'],3.4,17 Reviews,9,1,1,0,6
246,2606185,['No Pros'],['No Cons'],4.8,51 Reviews,45,4,0,0,2
247,2590469,"['1Easy to blend', '1Gorgeous on all skin tones', '1Pigmented', '1Please never discontinue this product']",['1None'],4.6,165 Reviews,114,35,13,1,2
248,2501393,"[""1Don't need to wear too much""]",['1A lot of kick back'],4.0,195 Reviews,99,46,22,10,18
249,2620023,['No Pros'],['No Cons'],5.0,6 Reviews,6,0,0,0,0
250,2563077,['No Pros'],['No Cons'],4.3,38 Reviews,28,3,2,0,5
251,2603445,['No Pros'],['No Cons'],4.5,20 Reviews,15,2,1,1,1
252,2596550,"['1Pigmented', '1Youthful glow', '1Buildable', '1Fresh color', '1Nice packaging']",['1None'],4.4,51 Reviews,39,3,2,2,5
253,2598375,['No Pros'],['No Cons'],4.2,571 Reviews,272,190,76,25,8
254,2588787,['No Pros'],['No Cons'],4.3,150 Reviews,83,40,14,8,5
255,2620022,['No Pros'],['No Cons'],5.0,4 Reviews,4,0,0,0,0
256,2584989,['No Pros'],"['1Dark', '1Too Warm', '1Unflattering']",4.4,26 Reviews,18,3,3,1,1
257,2584994,['No Pros'],['No Cons'],4.6,32 Reviews,28,0,0,2,2
258,2547121,"['2Pigmented', '1A hint of sparkle', '1Beautiful Color', '1Mystical shimmer', '1Pretty shades']","['1Glitter EVERYWHERE', '1Cracks/Crumbles Easily', '1Not great pigmentation', ""1Sparkle is only on surface, it doesn't"", '1Sparkle only on surface not throughout']",4.3,93 Reviews,63,12,6,9,3
259,2592826,['No Pros'],['No Cons'],4.4,68 Reviews,45,14,4,3,2
260,2606193,['No Pros'],['No Cons'],3.9,8 Reviews,4,1,1,2,0
261,2619236,['No Pros'],['No Cons'],4.3,8 Reviews,3,4,1,0,0
262,2611591,['No Pros'],['No Cons'],3.9,23 Reviews,13,3,2,2,3
263,2571837,"['1This blush goes on smoothly, and stays all day.', '1Blends Easily', '1Builds Easily', '1Sheers out easily', '1Suits most skintones']","['1Comparable to any drugstore blush', ""1Doesn't last long"", '1Have to reapply']",4.4,29 Reviews,20,2,5,2,0
264,2580294,['No Pros'],['No Cons'],3.4,25 Reviews,10,3,3,5,4
265,2592762,"['1Sheer and buildable', '1Goes on smoothly']",['1None'],4.1,255 Reviews,167,30,8,12,38
266,2572721,"['1Light weight', '1Luminous glow', '1Natural']",['No Cons'],4.1,20 Reviews,12,1,4,2,1
267,2596620,['No Pros'],['No Cons'],3.5,20 Reviews,8,3,3,3,3
268,2576104,['No Pros'],['No Cons'],4.1,21 Reviews,13,4,0,2,2
269,2610772,['No Pros'],['No Cons'],4.7,240 Reviews,183,45,10,0,2
270,2611505,['No Pros'],['No Cons'],4.5,55 Reviews,41,8,1,2,3
271,2620546,['No Pros'],['No Cons'],4.2,5 Reviews,2,2,1,0,0
272,2594667,['No Pros'],['No Cons'],4.5,430 Reviews,301,73,26,11,19
273,2583449,['No Pros'],['No Cons'],4.3,1348 Reviews,806,315,145,43,39
274,2619754,['No Pros'],['No Cons'],2.6,5 Reviews,1,1,0,1,2
275,2588688,"['1Blendable', '1Buildable', '1Creamy']",['No Cons'],4.6,1083 Reviews,863,108,62,44,6
276,2592825,['No Pros'],['No Cons'],4.5,91 Reviews,65,13,6,4,3
277,2560675,['No Pros'],['1So easy to use'],4.4,81 Reviews,56,16,1,3,5
278,2588778,"['1Creamy and can use on lips, eyes & cheeks!', '1Amazing shades!', '1Can be use cheek, lips and eyes.']",['No Cons'],4.4,17 Reviews,14,0,1,0,2
279,2611070,['No Pros'],['No Cons'],3.1,44 Reviews,11,9,7,8,9
280,2623911,['No Pros'],['No Cons'],5.0,4 Reviews,4,0,0,0,0
281,2554638,"['1LONGLASTING', '1Good Color Options']",['No Cons'],4.4,11 Reviews,8,1,1,0,1
282,2620682,['No Pros'],['No Cons'],4.8,149 Reviews,122,21,3,2,1
283,2608766,['No Pros'],['No Cons'],4.3,6 Reviews,4,0,2,0,0
284,2620024,['No Pros'],['No Cons'],5.0,2 Reviews,2,0,0,0,0
285,2595858,['No Pros'],['No Cons'],4.7,92 Reviews,76,9,3,3,1
